title,url,subject,modality,price,duration,registration,description
Preparing to Be a Corporate Director,https://pll.harvard.edu/course/preparing-be-corporate-director/2026-09,Business,In-Person,"$13,000",1 week,Starts Sep 30,
Walking for Health,https://pll.harvard.edu/course/walking-health-0,Health & Medicine,Online,$30,2 weeks,Available now,
HKS Executive Education Faculty Webinar: Machine Learning for Leaders,https://pll.harvard.edu/course/hks-executive-education-faculty-webinar-machine-learning-leaders,Social Sciences,Online,Free*,,Available now,
18th-Century Opera: Handel & Mozart,https://pll.harvard.edu/course/18th-century-opera-handel-mozart,Art & Design,Online,Free*,3 weeks,Available now,
Executive Leadership Coaching,https://pll.harvard.edu/course/executive-leadership-coaching,Business,In-Person,"$3,200",,Register by May 10,"Deepen your executive coaching expertise. Apply the theories and principles of neuroscience, human development, and somatic (body-oriented) coaching to transform your executive and leadership coaching skills."
Designing and Executing Corporate Revitalization,https://pll.harvard.edu/course/designing-and-executing-corporate-revitalization,Business,In-Person,"$16,000",1 week,Starts Nov 29,
Justice,https://pll.harvard.edu/course/justice/2026-02,Humanities,Online,Free*,12 weeks,Available now,
Leadership Development for Physicians in Academic Health Centers,https://pll.harvard.edu/course/leadership-development-physicians-academic-health-centers-3/2026-10,Health & Medicine,In-Person,"$11,200",,Register by Sep 13,
AI Marketing Course: Transforming Strategies with Generative AI,https://pll.harvard.edu/course/ai-marketing-course-transforming-strategies-generative-ai,Business,In-Person,"$3,200",,Register by Apr 5,"Learn to harness generative AI, hyper-personalization, and predictive analytics to optimize customer engagement, boost conversions, and drive measurable growth."
The Consultant's Toolkit,https://pll.harvard.edu/course/consultants-toolkit-0/2026-08,Business,In-Person,"$3,200",,Register by Jul 28,Refine your consulting abilities through proven techniques to improve organizational effectiveness.
Advancing Women of Color in Leadership,https://pll.harvard.edu/course/advancing-women-color-leadership,Business,In-Person,"$6,000",1 week,Starts Apr 8,
Health Care Strategy,https://pll.harvard.edu/course/health-care-strategy/2026-07,Business,Online,"$1,600",5 weeks,Opens Jul 15,
CORe,https://pll.harvard.edu/course/core,Business,Online,"$2,650",,Available now,
Using Python for Research,https://pll.harvard.edu/course/using-python-research,Computer Science,Online,Free*,,Available now,
Statistics and R,https://pll.harvard.edu/course/statistics-and-r,Data Science,Online,Free*,4 weeks,Available now,
Statistical Inference and Modeling for High-throughput Experiments,https://pll.harvard.edu/course/data-analysis-life-sciences-3-statistical-inference-and-modeling-high-throughput-experiments,Data Science,Online,$0,4 weeks,Available now,
Crisis Leadership in Higher Education,https://pll.harvard.edu/course/crisis-leadership-higher-education,Social Sciences,In-Person,"$6,100",,Register by Dec 11,
Competing in the Age of AI—Virtual,https://pll.harvard.edu/course/competing-age-ai-virtual,Business,Online,"$7,250",12 weeks,Starts Sep 24,
Big Data for Social Good,https://pll.harvard.edu/course/big-data-social-good,Social Sciences,Online,$950,4 weeks,Opens Mar 18,
Ciencia de Datos: Fundamentos de R,https://pll.harvard.edu/course/ciencia-de-datos-fundamentos-de-r,Data Science,Online,Free*,4 weeks,Available now,
Strategy: Building and Sustaining Competitive Advantage,https://pll.harvard.edu/course/strategy-building-and-sustaining-competitive-advantage/2026-12,Business,In-Person,"$18,500",1 week,Starts Dec 13,
Digital Marketing Strategy,https://pll.harvard.edu/course/digital-marketing-strategy-0,Business,Online,"$1,850",7 weeks,Available now,
"Purpose, Perspective, and Persuasion",https://pll.harvard.edu/course/purpose-perspective-and-persuasion,Business,Online,$175,,Available now,
Product Management: From Design to Launch,https://pll.harvard.edu/course/product-management-design-launch-0/2026-09,Business,Online Live,"$2,950",,Register by Sep 1,Learn the essential skills of product management and drive business growth
Advanced Negotiation Skills,https://pll.harvard.edu/course/advanced-negotiation-skills-0/2026-09,Business,In-Person,"$3,200",,Register by Sep 22,Develop sophisticated negotiation skills to create value for all parties at the bargaining table.
Creating Brand Value,https://pll.harvard.edu/course/creating-brand-value,Business,In-Person,"$11,750",,Starts May 31,
Negotiation Essentials Online,https://pll.harvard.edu/course/negotiation-essentials-online,Business,Online,"$2,497",,Starts Mar 3,
CS50: Introduction to Computer Science,https://pll.harvard.edu/course/cs50-introduction-computer-science,Programming,Online,Free*,5 weeks,Available now,
Business and Climate Change,https://pll.harvard.edu/course/business-and-climate-change,Business,Online,"$1,850",5 weeks,Available now,
Japanese Books: From Manuscript to Print,https://pll.harvard.edu/course/japanese-books-manuscript-print,Humanities,Online,Free*,,Available now,
Early Childhood Development: Global Strategies for Interventions,https://pll.harvard.edu/course/early-childhood-development-global-strategies-interventions,Education & Teaching,Online,Free*,,Available now,
Stretching and Flexibility Exercises,https://pll.harvard.edu/course/stretching-and-flexibility-exercises,Health & Medicine,Online,$30,2 weeks,Available now,
Health Care Strategy,https://pll.harvard.edu/course/health-care-strategy,Business,Online,"$1,600",5 weeks,Opens Apr 15,
Advanced Negotiation Skills,https://pll.harvard.edu/course/advanced-negotiation-skills-0,Business,In-Person,"$3,200",,Register by Mar 16,Develop sophisticated negotiation skills to create value for all parties at the bargaining table.
HMX Immunology,https://pll.harvard.edu/course/hmx-immunology/2026-04,Health & Medicine,Online,"$1,025",,Register by Apr 7,
Growing as an Enterprise Leader,https://pll.harvard.edu/course/growing-enterprise-leader,Business,In-Person,"$18,000",1 week,Starts May 17,
Strategic Sales Management,https://pll.harvard.edu/course/strategic-sales-management-0/2026-11,Business,In-Person,"$3,200",,Register by Oct 27,"Learn proven sales management strategies and techniques to lead yourself, your direct reports, and your organization."
Becoming a Leader: Developing Your Style and Making Sound Decisions,https://pll.harvard.edu/course/becoming-leader-developing-your-style-and-making-sound-decisions-0/2026-09,Business,In-Person,"$3,200",,Register by Sep 13,Explore the symbiotic relationship between decision making and leadership to maximize organizational performance.
Energy to Electrochemistry Final Exam,https://pll.harvard.edu/course/energy-electrochemistry-final-exam,Science,Online,Free*,4 weeks,Available now,
Harvard Macy Institute Program for Leading Innovations in Health Care and Education,https://pll.harvard.edu/course/harvard-macy-institute-program-leading-innovations-health-care-and-education-0,Health & Medicine,In-Person,"$6,400",,Register by Apr 15,
Building Organizational Cultures: A Framework for Leaders,https://pll.harvard.edu/course/building-organizational-cultures-framework-leaders-0/2026-12,Business,In-Person,"$3,200",,Register by Dec 1,Critically assess how culture affects organizations and learn how to create an environment that promotes advancement of people.
Women's Health and Wellness,https://pll.harvard.edu/course/womens-health-and-wellness,Health & Medicine,Online,"$2,950",,Register by Apr 7,
Electrochemistry,https://pll.harvard.edu/course/electrochemistry,Science,Online,Free*,10 weeks,Available now,
China and Communism,https://pll.harvard.edu/course/china-part-9-communist-liberations,Humanities,Online,Free*,15 weeks,Available now,
Women in Leadership: Online Program for Emerging Leaders,https://pll.harvard.edu/course/women-leadership-online-program-emerging-leaders-0,Business,Online Live,"$3,050",,Register by Jul 8,Become a strategic leader by developing your key strengths and attributes.
Modern China’s Foundations: The Manchus and the Qing,https://pll.harvard.edu/course/china-part-6-manchus-and-qing,Humanities,Online,Free*,15 weeks,Available now,
Mental Health Leadership: Transformation Through Innovation,https://pll.harvard.edu/course/mental-health-leadership-transformation-through-innovation,Health & Medicine,Online,"$2,900",,Register by Dec 4,
Leadership Principles,https://pll.harvard.edu/course/leadership-principles,Business,Online,"$1,850",6 weeks,Available now,
Managing Yourself and Leading Others,https://pll.harvard.edu/course/managing-yourself-and-leading-others-1/2026-05,Business,In-Person,"$3,200",,Register by Apr 26,Evolve your leadership style to lead better and motivate others to accomplish your company's goals.
Innovation and Strategy,https://pll.harvard.edu/course/innovation-and-strategy-0/2026-10,Business,In-Person,"$3,200",,Register by Sep 27,Strengthen your organization’s capacity to drive innovation and achieve greater results.
"Advances in Genetic Medicines: Approved Therapies in CRISPR, Gene Therapies, and Oligos",https://pll.harvard.edu/course/advances-genetic-medicines-approved-therapies-crispr-gene-therapies-and-oligos,Health & Medicine,Online,$495,,Available now,
Leveraging Multi-sided Platforms with AI for Business Leaders,https://pll.harvard.edu/course/leveraging-multi-sided-platforms-ai-business-leaders-0,Business,Online Live,"$1,570",,Register by May 28,"Develop the strategies and skills you need to design, launch, and scale a successful and sustainable multi-sided digital platform."
Strategic Negotiations: Dealmaking for the Long Term,https://pll.harvard.edu/course/strategic-negotiations-dealmaking-long-term,Business,In-Person,"$15,000",1 week,Starts May 10,
Rising Generation in the Family Enterprise,https://pll.harvard.edu/course/rising-generation-family-enterprise,Business,In-Person,"$12,750",1 week,Starts Jun 17,
Authentic Leadership,https://pll.harvard.edu/course/authentic-leadership-0/2026-11,Business,In-Person,"$3,200",,Register by Oct 25,"Develop mindfulness and authenticity to build trust, create engagement, and promote productivity."
Global China: From the Mongols to the Ming,https://pll.harvard.edu/course/china-part-5-global-empire-global-economy,Humanities,Online,Free*,15 weeks,Available now,
Program for Chairs of Clinical Services,https://pll.harvard.edu/course/program-chairs-clinical-services-2,Health & Medicine,In-Person,"$11,750",,Register by Dec 18,
Leadership Coaching Strategies,https://pll.harvard.edu/course/leadership-coaching-strategies-0/2026-08,Business,In-Person,"$3,200",,Register by Aug 23,Learn leadership coaching strategies to help your team navigate business challenges and maximize performance.
"Citizen Politics in America: Public Opinion, Elections, Interest Groups, and the Media",https://pll.harvard.edu/course/citizen-politics-america-public-opinion-elections-interest-groups-and-media,Social Sciences,Online,Free*,,Available now,
Fundamentals of Neuroscience Final Exam,https://pll.harvard.edu/course/fundamentals-neuroscience-final-exam,Science,Online,$199,2 weeks,Available now,
Driving Corporate Performance: Aligning Scorecards and Structure for Strategy Execution,https://pll.harvard.edu/course/driving-corporate-performance-aligning-scorecards-and-structure-strategy-execution,Business,In-Person,"$16,000",1 week,Starts Jul 12,
Strategic Leadership,https://pll.harvard.edu/course/strategic-leadership-0/2026-06,Business,In-Person,"$4,200",,Register by Jun 7,Enhance your ability to creatively problem-solve for the demands of working in ‘the new normal'.
China’s First Empires and the Rise of Buddhism,https://pll.harvard.edu/course/chinas-first-empires-and-the-rise-of-buddhism,Humanities,Online,Free*,15 weeks,Available now,
Program for Educators in Health Professions,https://pll.harvard.edu/course/program-educators-health-professions-0,Health & Medicine,Online,"$6,800",,Register by May 27,
Strengthening Community Health Worker Programs,https://pll.harvard.edu/course/strengthening-community-health-worker-programs,Health & Medicine,Online,Free*,,Available now,
Emerging Leaders,https://pll.harvard.edu/course/emerging-leaders/2026-12,Social Sciences,In-Person,"$11,200",1 week,Register by Oct 7,
Innovation and Strategy,https://pll.harvard.edu/course/innovation-and-strategy-0/2026-12,Business,Online Live,"$2,950",,Register by Nov 23,Strengthen your organization’s capacity to drive innovation and achieve greater results.
Annual Update in Obstetrics and Gynecology,https://pll.harvard.edu/course/annual-update-obstetrics-and-gynecology,Health & Medicine,In-Person,"$1,160",,Register by Mar 11,
Skin Care and Repair,https://pll.harvard.edu/course/skin-care-and-repair,Health & Medicine,Online,$30,2 weeks,Available now,
"A.I., Machine Learning, and the Built Environment",https://pll.harvard.edu/course/ai-machine-learning-and-built-environment,Art & Design,Online,"$1,450 - $1,650",,Register by Mar 1,
Launching Tech Ventures,https://pll.harvard.edu/course/launching-tech-ventures,Business,Online,"$1,850",5 weeks,Available now,
Monteverdi’s L’Orfeo and the Birth of Opera,https://pll.harvard.edu/course/first-nights-monteverdi%E2%80%99s-l%E2%80%99orfeo-and-birth-opera,Art & Design,Online,Free*,3 weeks,Available now,
Negotiation Strategies: Building Agreement Across Boundaries,https://pll.harvard.edu/course/negotiation-strategies-building-agreement-across-boundaries/2026-04,Social Sciences,In-Person,"$10,900",1 week,Register by Mar 2,
Effective Writing for Greater Impact,https://pll.harvard.edu/course/effective-writing-greater-impact,Business,Online,$175,,Available now,
Leaders of Learning,https://pll.harvard.edu/course/leaders-learning,Education & Teaching,Online,Free*,10 weeks,Available now,
Remote Work Revolution for Everyone,https://pll.harvard.edu/course/remote-work-revolution-everyone,Business,Online,Free*,3 weeks,Available now,
The Architectural Imagination,https://pll.harvard.edu/course/architectural-imagination,Art & Design,Online,Free*,10 weeks,Available now,
Essential Management Skills for Emerging Leaders,https://pll.harvard.edu/course/essential-management-skills-emerging-leaders-0,Business,In-Person,"$6,150",,Register by Oct 11,Acquire the core skills you need to succeed as a leader.
CS50's Introduction to Programming with Python,https://pll.harvard.edu/course/cs50s-introduction-programming-python,Programming,Online,Free*,9 weeks,Available now,
Data Science for Business,https://pll.harvard.edu/course/data-science-business,Business,Online,"$1,600",4 weeks,Opens Mar 25,
Organizational Leadership,https://pll.harvard.edu/course/organizational-leadership-0,Business,Online,"$1,850",7 weeks,Available now,
Leadership for Senior Executives,https://pll.harvard.edu/course/leadership-senior-executives/2026-05,Business,In-Person,"$18,000",1 week,Starts May 31,
Beethoven's 9th Symphony and the 19th Century Orchestra,https://pll.harvard.edu/course/first-nights-beethoven%E2%80%99s-9th-symphony-and-19th-century-orchestra,Art & Design,Online,Free*,3 weeks,Available now,
Sikhism Through Its Scriptures,https://pll.harvard.edu/course/sikhism-through-its-scriptures-0,Humanities,Online,Free*,4 weeks,Available now,
Leading and Building a Culture of Innovation,https://pll.harvard.edu/course/leading-and-building-culture-innovation,Business,In-Person,"$17,000",1 week,Starts Dec 6,
Climate Change Policy: Economics and Politics Online,https://pll.harvard.edu/course/climate-change-policy-economics-and-politics-online,Science,Online,"$5,100",1 week,Register by Aug 15,
Technology Entrepreneurship: Lab to Market,https://pll.harvard.edu/course/technology-entrepreneurship-lab-market,Business,Online,Free*,5 weeks,Available now,
Becoming a Leader: Developing Your Style and Making Sound Decisions,https://pll.harvard.edu/course/becoming-leader-developing-your-style-and-making-sound-decisions-0/2026-10,Business,Online Live,"$2,950",,Register by Oct 8,Explore the symbiotic relationship between decision making and leadership to maximize organizational performance.
Leadership in Law Firms,https://pll.harvard.edu/course/leadership-law-firms/2026-09,Business,In-Person,"$19,000",1 week,Register by Aug 7,
Harvard VPAL CRISPR: Gene-editing Applications,https://pll.harvard.edu/course/harvard-vpal-crispr-gene-editing-applications,Science,Online,"$1,680",9 weeks,Starts Mar 11,
Strengthening Business Relationships: Creating Strategic Alliances and Building Trust,https://pll.harvard.edu/course/strengthening-business-relationships-creating-strategic-alliances-and-building-trust-0,Business,Online Live,"$2,850",,Register by Apr 21,Foster innovation and creativity by learning new ways to stimulate effective relationships and build powerful alliances.
In-Place Filter Testing Workshop,https://pll.harvard.edu/course/place-filter-testing-workshop-1,Health & Medicine,In-Person,"$3,000",,Register by Jul 10,
Clinical Care for Autistic Adults,https://pll.harvard.edu/course/clinical-care-autistic-adults,Health & Medicine,Online,$15,,Available now,
The Caregiver's Guide,https://pll.harvard.edu/course/caregivers-guide,Health & Medicine,Online,$30,2 weeks,Available now,
Entrepreneurial Marketing,https://pll.harvard.edu/course/entrepreneurial-marketing,Business,Online,"$1,850",4 weeks,Available now,
Strategic Project Management,https://pll.harvard.edu/course/strategic-project-management-0/2026-08,Business,In-Person,"$3,200",,Register by Aug 9,"Plan, manage, and execute projects that are essential to the success of your business."
Leadership Coaching Strategies,https://pll.harvard.edu/course/leadership-coaching-strategies-0/2026-06,Business,In-Person,"$3,200",,Register by Jun 16,Learn leadership coaching strategies to help your team navigate business challenges and maximize performance.
Influence and Persuasion in Leadership,https://pll.harvard.edu/course/influence-and-persuasion-leadership-0/2026-09,Business,In-Person,"$3,200",,Register by Sep 15,Improve your ability to influence and motivate your audience to accomplish your goals.
"HealthXcelerate: Strategy, Policy, and Systems",https://pll.harvard.edu/course/healthxcelerate-strategy-policy-and-systems/2026-03,Health & Medicine,Online,"$1,250",12 weeks,Register by Mar 11,
Management and Leadership Skills for EHS Professionals,https://pll.harvard.edu/course/management-and-leadership-skills-ehs-professionals-1,Health & Medicine,In-Person,"$3,200",,Register by Mar 20,
"Safety, Quality, Informatics and Leadership",https://pll.harvard.edu/course/safety-quality-informatics-and-leadership,Health & Medicine,In-Person,"$15,350",,Starts Aug 3,
Leading Economic Growth,https://pll.harvard.edu/course/leading-economic-growth,Social Sciences,Online,"$6,600",,Register by Aug 29,
FinTech,https://pll.harvard.edu/course/fintech,Business,Online,"$3,396",7 weeks,Starts Apr 1,
Leading Professional Service Firms,https://pll.harvard.edu/course/leading-professional-service-firms,Business,In-Person,"$18,000",1 week,Starts Jun 21,
MalariaX: Defeating Malaria from the Genes to the Globe,https://pll.harvard.edu/course/malariax-defeating-malaria-genes-globe,Health & Medicine,Online,Free*,11 weeks,Available now,
"Infrastructure Financing, Regulation, and Management",https://pll.harvard.edu/course/infrastructure-financing-regulation-and-management,Social Sciences,In-Person,"$10,600",1 week,Register by Mar 9,
Ancient Masterpieces of World Literature,https://pll.harvard.edu/course/ancient-masterpieces-world-literature,Humanities,Online,Free*,,Available now,
The Future of Legal,https://pll.harvard.edu/course/future-legal,Social Sciences,In-Person,"$14,900",,Register by Sep 4,
CS50's Web Programming with Python and JavaScript,https://pll.harvard.edu/course/cs50s-web-programming-python-and-javascript,Programming,Online,Free*,12 weeks,Available now,
Boosting Your Energy,https://pll.harvard.edu/course/boosting-your-energy,Health & Medicine,Online,$30,2 weeks,Available now,
Managing Yourself and Leading Others,https://pll.harvard.edu/course/managing-yourself-and-leading-others-1/2026-09,Business,In-Person,"$3,200",,Register by Sep 1,Evolve your leadership style to lead better and motivate others to accomplish your company's goals.
Healthy Feet,https://pll.harvard.edu/course/healthy-feet,Health & Medicine,Online,$30,2 weeks,Available now,
United States Health Policy,https://pll.harvard.edu/course/united-states-health-policy,Social Sciences,Online,Free*,10 weeks,Available now,
Nonprofit Financial Stewardship Webinar: Introduction to Accounting and Financial Statements,https://pll.harvard.edu/course/nonprofit-financial-stewardship-webinar-introduction-accounting-and-financial-statements,Social Sciences,Online,Free*,,Available now,
Executive Leadership: Skills Experienced Leaders Need to Succeed,https://pll.harvard.edu/course/executive-leadership-skills-experienced-leaders-need-succeed-0,Business,In-Person,"$5,100",,Register by May 2,Strengthen your executive vision and presence to enhance your influence and lead your organization to success.
Global Health Care Leaders Program,https://pll.harvard.edu/course/global-health-care-leaders-program,Health & Medicine,Blended,"$33,000",,Register by Mar 2,
Leading Professional Service Firms,https://pll.harvard.edu/course/leading-professional-service-firms/2027-01,Business,In-Person,"$18,500",1 week,Starts Jan 24,
A Darkening Horizon: Nuclear Dangers Around the World with Matthew Bunn,https://pll.harvard.edu/course/darkening-horizon-nuclear-dangers-around-world-matthew-bunn,Social Sciences,Online,Free*,,Available now,
Knees and Hips,https://pll.harvard.edu/course/knees-and-hips,Health & Medicine,Online,$30,2 weeks,Available now,
Emotional Intelligence in Leadership,https://pll.harvard.edu/course/emotional-intelligence-leadership-0,Business,In-Person,"$3,300",,Register by Jun 9,Expand your leadership capacity and create an environment that fosters emotional intelligence.
Leading Green Growth: Economic Strategies for a Low-Carbon World,https://pll.harvard.edu/course/leading-green-growth-economic-strategies-low-carbon-world,Social Sciences,In-Person,"$10,600",1 week,Register by Mar 23,
Negotiation and Leadership,https://pll.harvard.edu/course/negotiation-and-leadership-10/2026-06,Business,In-Person,"$5,497",,Starts Jun 8,
Managing Your Cholesterol,https://pll.harvard.edu/course/managing-your-cholesterol,Health & Medicine,Online,$30,2 weeks,Available now,
Generative AI: How to Use It and Why It Matters,https://pll.harvard.edu/course/generative-ai-how-use-it-and-why-it-matters,Computer Science,Online,"$1,995",6 weeks,Register by Mar 2,
Women Leaders: Advancing Together,https://pll.harvard.edu/course/women-leaders-advancing-together-0,Business,In-Person,"$6,450",,Register by May 10,"A leadership program for rising women leaders and senior managers to collaborate, mentor, and advance."
Tangible Things,https://pll.harvard.edu/course/tangible-things/2026-04,Humanities,Online,Free*,10 weeks,Opens Apr 16,
Finance for Senior Executives,https://pll.harvard.edu/course/finance-senior-executives,Business,Blended,"$14,750",3 weeks,Starts Sep 17,
Allergy and Asthma: Immunological Principles and Therapeutics,https://pll.harvard.edu/course/allergy-and-asthma-immunological-principles-and-therapeutics,Health & Medicine,Online,$495,,Available now,
AI in Medicine: Foundations and Applications in Medical Practice and Research,https://pll.harvard.edu/course/ai-medicine-foundations-and-applications-medical-practice-and-research,Health & Medicine,Online,$495,,Available now,
Transforming Customer Experiences,https://pll.harvard.edu/course/transforming-customer-experiences,Business,In-Person,"$15,000",1 week,Starts Apr 26,
Data Science: Linear Regression,https://pll.harvard.edu/course/data-science-linear-regression/2026-04,Data Science,Online,Free*,8 weeks,Opens Apr 15,
Strategy Execution for Public Leadership,https://pll.harvard.edu/course/strategy-execution-public-leadership,Business,Online,"$1,600",4 weeks,Opens Apr 1,
Data Science: Inference and Modeling,https://pll.harvard.edu/course/data-science-inference-and-modeling/2026-04,Data Science,Online,Free*,,Opens Apr 15,
Lessons from Ebola: Preventing the Next Pandemic,https://pll.harvard.edu/course/lessons-ebola-preventing-next-pandemic,Health & Medicine,Online,Free*,4 weeks,Available now,
Generative AI: How to Use It and Why It Matters,https://pll.harvard.edu/course/generative-ai-how-use-it-and-why-it-matters/2026-05,Computer Science,Online,"$1,995",6 weeks,Register by Apr 27,
The Walkable City,https://pll.harvard.edu/course/walkable-city,Art & Design,In-Person,"$1,850 - $2,050",,Register by Mar 31,
Winning with Digital Platforms,https://pll.harvard.edu/course/winning-digital-platforms,Business,Online,"$1,850",5 weeks,Available now,
Data Science: Inference and Modeling,https://pll.harvard.edu/course/data-science-inference-and-modeling,Data Science,Online,Free*,8 weeks,Available now,
Leading Change and Organizational Renewal,https://pll.harvard.edu/course/leading-change-and-organizational-renewal-0,Business,Online,"$1,850",6 weeks,Available now,
Starting to Exercise,https://pll.harvard.edu/course/starting-exercise,Health & Medicine,Online,$30,2 weeks,Available now,
Fundamentals of Neuroscience Final Exam,https://pll.harvard.edu/course/fundamentals-neuroscience-final-exam/2025-10,Science,Online,$199,2 weeks,Available now,
Sustainable Investing,https://pll.harvard.edu/course/sustainable-investing,Business,Online,"$1,850",6 weeks,Available now,
The Fredric G. Levin Lung Cancer Symposium,https://pll.harvard.edu/course/fredric-g-levin-lung-cancer-symposium-0,Health & Medicine,In-Person,$200,,Register by Mar 26,
Disruptive Innovation,https://pll.harvard.edu/course/disruptive-innovation,Business,In-Person,"$16,000",1 week,Starts Jun 14,
Principles of Medical Education Maximizing Your Teaching Skills,https://pll.harvard.edu/course/principles-medical-education-maximizing-your-teaching-skills-1,Education & Teaching,Online Live,"$1,795",,Starts Mar 24,
Executive Leadership Coaching,https://pll.harvard.edu/course/executive-leadership-coaching/2026-09,Business,Online Live,"$2,950",,Register by Sep 3,"Deepen your executive coaching expertise. Apply the theories and principles of neuroscience, human development, and somatic (body-oriented) coaching to transform your executive and leadership coaching skills."
Foundations of Private Equity and Venture Capital,https://pll.harvard.edu/course/foundations-private-equity-and-venture-capital,Business,In-Person,"$12,000",1 week,Starts Mar 1,
Cell Biology: Mitochondria,https://pll.harvard.edu/course/cell-biology-mitochondria,Science,Online,Free*,4 weeks,Available now,
CS50's Introduction to Databases with SQL,https://pll.harvard.edu/course/cs50s-introduction-databases-sql,Computer Science,Online,Free*,7 weeks,Available now,
High-Dimensional Data Analysis,https://pll.harvard.edu/course/data-analysis-life-sciences-4-high-dimensional-data-analysis,Data Science,Online,Free*,4 weeks,Available now,
Nutrition and Wellness Coaching,https://pll.harvard.edu/course/nutrition-and-wellness-coaching,Health & Medicine,Online,"$4,995",,Register by Mar 5,
Energy and Thermodynamics,https://pll.harvard.edu/course/energy-and-thermodynamics,Science,Online,Free*,10 weeks,Available now,
Computer Science for Lawyers,https://pll.harvard.edu/course/computer-science-lawyers,Social Sciences,Online,"$2,250",,Available now,
Emotional Intelligence in Leadership,https://pll.harvard.edu/course/emotional-intelligence-leadership-0/2026-11-0,Business,Online Live,"$3,050",,Register by Nov 15,Expand your leadership capacity and create an environment that fosters emotional intelligence.
Senior Executives in State and Local Government,https://pll.harvard.edu/course/senior-executives-state-and-local-government/2026-07,Social Sciences,In-Person,"$17,900",3 weeks,Register by Apr 6,
Communication Strategies: Presenting with Impact,https://pll.harvard.edu/course/communication-strategies-presenting-impact-0/2026-07,Business,In-Person,"$3,200",,Register by Jul 7,"Gain the skills needed to engage, inform and inspire others — and improve your ability to communicate as a leader."
AI Ethics in Business: Managing Bias and Ethical Usage,https://pll.harvard.edu/course/ai-ethics-business-managing-bias-and-ethical-usage-0,Business,Online Live,"$2,950",,Register by Jul 26,Prepare yourself for the future and learn the best way to use new AI tools and capabilities.
"19th-Century Opera: Meyerbeer, Wagner, & Verdi",https://pll.harvard.edu/course/19th-century-opera-meyerbeer-wagner-verdi,Art & Design,Online,Free*,6 weeks,Available now,
Beyond Strategic Planning: From Implementation to Sustainment,https://pll.harvard.edu/course/beyond-strategic-planning-implementation-sustainment-0/2026-11,Business,In-Person,"$3,200",,Register by Oct 25,"Successfully navigate the challenges inherent in making your organizational, departmental, and project-specific plans come to life."
HMX Pharmacology,https://pll.harvard.edu/course/hmx-pharmacology,Health & Medicine,Online,"$1,025",,Register by Apr 7,
Introduction to Data Wise: A Collaborative Process to Improve Learning & Teaching,https://pll.harvard.edu/course/introduction-data-wise-collaborative-process-improve-learning-teaching,Education & Teaching,Online,Free*,8 weeks,Available now,
Adaptive Leadership: Practical Strategies for Change,https://pll.harvard.edu/course/adaptive-leadership-practical-strategies-change/2026-06,Business,Online,"$1,850",,Opens Jun 17,
Senior Executives in State and Local Government,https://pll.harvard.edu/course/senior-executives-state-and-local-government,Social Sciences,In-Person,"$17,900",3 weeks,Register by Apr 6,
Digital Humanities in Practice: From Research Questions to Results,https://pll.harvard.edu/course/digital-humanities-practice-research-questions-results,Data Science,Online,Free*,10 weeks,Available now,
Adaptive Leadership: Practical Strategies for Change,https://pll.harvard.edu/course/adaptive-leadership-practical-strategies-change,Business,Online,"$1,850",5 weeks,Opens Apr 8,
"Real Estate Investments: Assets, Markets, and Current Trends",https://pll.harvard.edu/course/real-estate-investments-assets-markets-and-current-trends-0,Business,In-Person,"$3,200",,Register by May 5,Master the fundamentals and practicalities of real estate investing.
Managing Yourself and Leading Others,https://pll.harvard.edu/course/managing-yourself-and-leading-others-1/2026-11,Business,In-Person,"$3,200",,Register by Nov 1,Evolve your leadership style to lead better and motivate others to accomplish your company's goals.
Managing Yourself and Leading Others,https://pll.harvard.edu/course/managing-yourself-and-leading-others-1/2026-06,Business,In-Person,"$3,200",,Register by Jun 21,Evolve your leadership style to lead better and motivate others to accomplish your company's goals.
Quantitative Methods for Biology,https://pll.harvard.edu/course/quantitative-methods-biology,Computer Science,Online,Free*,10 weeks,Available now,
Exercising Leadership: Foundational Principles,https://pll.harvard.edu/course/exercising-leadership-foundational-principles,Business,Online,Free*,4 weeks,Available now,
Applications of TinyML,https://pll.harvard.edu/course/applications-tinyml/2026-02,Computer Science,Online,Free*,6 weeks,Available now,
Disruptive Strategy,https://pll.harvard.edu/course/disruptive-strategy,Business,Online,"$1,850",6 weeks,Available now,
Guidelines for Laboratory Design: Health and Safety Considerations,https://pll.harvard.edu/course/guidelines-laboratory-design-health-and-safety-considerations-3,Health & Medicine,In-Person,"$3,200",,Register by May 5,
Economics for Managers,https://pll.harvard.edu/course/economics-managers,Business,Online,"$1,850",8 weeks,Available now,
Data Analysis: Basic Probability and Statistics,https://pll.harvard.edu/course/data-analysis-basic-probability-and-statistics,Mathematics,Online,Free*,7 weeks,Available now,
HMX Genetics,https://pll.harvard.edu/course/hmx-genetics,Health & Medicine,Online,"$1,025",,Register by Apr 7,
"International Finance: Policy, Regulation, and Transactions",https://pll.harvard.edu/course/international-finance-policy-regulation-and-transactions-0,Social Sciences,Online,"$2,450",,Available now,
The Art of Workplace Engagement: Creating a Positive Environment to Engage Employees,https://pll.harvard.edu/course/art-workplace-engagement-creating-positive-environment-engage-employees-0,Business,Online Live,"$2,950",,Register by Jun 8,Learn strategies to increase workplace productivity by improving employee satisfaction and reducing friction in times of stress.
